ID,Date,Name,ShopClosed,OpenTime,CloseTime,Notes
HOL-1764863658512,2025-12-25,Christmas,TRUE,,,
HOL-1764871110408,2025-12-24,Christmas Eve,FALSE,9:00,12:00,
